tx_id,category,payment_method,country,amount_eur,ts
20260603-00-00000,books,cash,IT,0.0,2026-06-03T22:11:00
20260603-00-00001,home,cash,BE,0.0,2026-06-03T13:17:00
20260603-00-00002,fashion,cash,NL,0.0,2026-06-03T00:17:00
20260603-00-00003,books,transfer,DE,0.0,2026-06-03T16:54:00
20260603-00-00004,sports,cash,IT,0.0,2026-06-03T03:45:00
20260603-00-00005,sports,card,NL,0.0,2026-06-03T12:48:00
20260603-00-00006,groceries,wallet,IT,0.0,2026-06-03T14:31:00
20260603-00-00007,toys,wallet,FR,0.0,2026-06-03T12:24:00
20260603-00-00008,books,wallet,ES,0.0,2026-06-03T03:17:00
20260603-00-00009,electronics,transfer,NL,0.0,2026-06-03T14:49:00
20260603-00-00010,books,card,ES,0.0,2026-06-03T17:16:00
20260603-00-00011,books,card,FR,0.0,2026-06-03T21:05:00
20260603-00-00012,home,wallet,NL,0.0,2026-06-03T23:40:00
20260603-00-00013,books,card,DE,0.0,2026-06-03T03:24:00
20260603-00-00014,toys,transfer,FR,0.0,2026-06-03T02:37:00
20260603-00-00015,electronics,wallet,DE,0.0,2026-06-03T00:51:00
20260603-00-00016,fashion,transfer,NL,0.0,2026-06-03T00:39:00
20260603-00-00017,electronics,transfer,DE,0.0,2026-06-03T19:28:00
20260603-00-00018,books,cash,NL,0.0,2026-06-03T12:53:00
20260603-00-00019,home,transfer,IT,0.0,2026-06-03T02:58:00
20260603-00-00020,groceries,wallet,NL,0.0,2026-06-03T09:29:00
20260603-00-00021,books,transfer,FR,0.0,2026-06-03T07:40:00
20260603-00-00022,groceries,cash,ES,0.0,2026-06-03T10:04:00
20260603-00-00023,home,wallet,IT,0.0,2026-06-03T05:42:00
20260603-00-00024,home,card,DE,0.0,2026-06-03T17:19:00
20260603-00-00025,fashion,card,NL,0.0,2026-06-03T05:53:00
20260603-00-00026,electronics,card,FR,0.0,2026-06-03T06:40:00
20260603-00-00027,books,wallet,FR,0.0,2026-06-03T20:51:00
20260603-00-00028,home,card,NL,0.0,2026-06-03T15:14:00
20260603-00-00029,fashion,cash,NL,0.0,2026-06-03T05:02:00
20260603-00-00030,home,transfer,DE,0.0,2026-06-03T23:47:00
20260603-00-00031,fashion,wallet,NL,0.0,2026-06-03T16:51:00
20260603-00-00032,books,card,NL,0.0,2026-06-03T15:08:00
20260603-00-00033,home,wallet,BE,0.0,2026-06-03T07:04:00
20260603-00-00034,sports,cash,ES,0.0,2026-06-03T13:00:00
20260603-00-00035,groceries,cash,ES,0.0,2026-06-03T13:32:00
20260603-00-00036,home,card,IT,0.0,2026-06-03T05:02:00
20260603-00-00037,books,wallet,BE,0.0,2026-06-03T12:44:00
20260603-00-00038,sports,transfer,DE,0.0,2026-06-03T16:28:00
20260603-00-00039,toys,wallet,DE,0.0,2026-06-03T03:06:00
20260603-00-00040,toys,card,ES,0.0,2026-06-03T11:02:00
20260603-00-00041,toys,transfer,NL,0.0,2026-06-03T18:14:00
20260603-00-00042,electronics,card,BE,0.0,2026-06-03T05:26:00
20260603-00-00043,groceries,wallet,BE,0.0,2026-06-03T05:51:00
20260603-00-00044,books,cash,BE,0.0,2026-06-03T12:12:00
20260603-00-00045,fashion,card,NL,0.0,2026-06-03T16:02:00
20260603-00-00046,groceries,transfer,FR,0.0,2026-06-03T07:31:00
20260603-00-00047,groceries,cash,IT,0.0,2026-06-03T12:37:00
20260603-00-00048,sports,wallet,DE,0.0,2026-06-03T18:31:00
20260603-00-00049,home,wallet,ES,0.0,2026-06-03T04:22:00
20260603-00-00050,toys,card,ES,0.0,2026-06-03T07:26:00
20260603-00-00051,books,cash,FR,0.0,2026-06-03T12:00:00
20260603-00-00052,toys,transfer,FR,0.0,2026-06-03T06:43:00
20260603-00-00053,electronics,transfer,BE,0.0,2026-06-03T12:46:00
20260603-00-00054,groceries,wallet,NL,0.0,2026-06-03T08:29:00
20260603-00-00055,home,card,ES,0.0,2026-06-03T12:47:00
20260603-00-00056,books,card,DE,0.0,2026-06-03T13:51:00
20260603-00-00057,fashion,cash,ES,0.0,2026-06-03T04:41:00
20260603-00-00058,home,card,IT,0.0,2026-06-03T00:34:00
20260603-00-00059,groceries,cash,BE,0.0,2026-06-03T14:49:00
20260603-00-00060,fashion,cash,BE,0.0,2026-06-03T15:14:00
20260603-00-00061,toys,cash,IT,0.0,2026-06-03T23:46:00
20260603-00-00062,fashion,wallet,NL,0.0,2026-06-03T23:49:00
20260603-00-00063,fashion,wallet,BE,0.0,2026-06-03T18:07:00
20260603-00-00064,fashion,wallet,NL,0.0,2026-06-03T04:34:00
20260603-00-00065,toys,card,NL,0.0,2026-06-03T15:33:00
20260603-00-00066,fashion,card,DE,0.0,2026-06-03T09:46:00
20260603-00-00067,electronics,card,ES,0.0,2026-06-03T09:17:00
20260603-00-00068,electronics,cash,IT,0.0,2026-06-03T04:34:00
20260603-00-00069,home,transfer,ES,0.0,2026-06-03T02:25:00
20260603-00-00070,fashion,wallet,FR,0.0,2026-06-03T02:29:00
20260603-00-00071,books,wallet,IT,0.0,2026-06-03T11:29:00
20260603-00-00072,toys,wallet,FR,0.0,2026-06-03T08:04:00
20260603-00-00073,books,card,FR,0.0,2026-06-03T09:39:00
20260603-00-00074,sports,wallet,IT,0.0,2026-06-03T09:55:00
20260603-00-00075,home,wallet,IT,0.0,2026-06-03T00:59:00
20260603-00-00076,home,transfer,DE,0.0,2026-06-03T02:34:00
20260603-00-00077,home,transfer,NL,0.0,2026-06-03T16:33:00
20260603-00-00078,groceries,wallet,NL,0.0,2026-06-03T22:52:00
20260603-00-00079,sports,transfer,NL,0.0,2026-06-03T22:55:00
20260603-00-00080,groceries,card,DE,0.0,2026-06-03T04:30:00
20260603-00-00081,home,cash,ES,0.0,2026-06-03T18:52:00
20260603-00-00082,books,wallet,NL,0.0,2026-06-03T05:52:00
20260603-00-00083,home,transfer,NL,0.0,2026-06-03T06:07:00
20260603-00-00084,fashion,cash,BE,0.0,2026-06-03T08:37:00
20260603-00-00085,books,cash,BE,0.0,2026-06-03T16:57:00
20260603-00-00086,fashion,transfer,ES,0.0,2026-06-03T06:09:00
20260603-00-00087,fashion,wallet,DE,0.0,2026-06-03T22:53:00
20260603-00-00088,toys,transfer,BE,0.0,2026-06-03T05:59:00
20260603-00-00089,home,wallet,BE,0.0,2026-06-03T16:57:00
20260603-00-00090,sports,cash,NL,0.0,2026-06-03T11:57:00
20260603-00-00091,fashion,cash,IT,0.0,2026-06-03T09:55:00
20260603-00-00092,electronics,transfer,DE,0.0,2026-06-03T04:21:00
20260603-00-00093,fashion,card,BE,0.0,2026-06-03T13:42:00
20260603-00-00094,groceries,cash,IT,0.0,2026-06-03T08:30:00
20260603-00-00095,fashion,card,ES,0.0,2026-06-03T14:45:00
20260603-00-00096,electronics,card,BE,0.0,2026-06-03T13:39:00
20260603-00-00097,books,transfer,DE,0.0,2026-06-03T22:37:00
20260603-00-00098,books,cash,ES,0.0,2026-06-03T06:58:00
20260603-00-00099,fashion,card,ES,0.0,2026-06-03T02:43:00
20260603-00-00100,books,wallet,ES,0.0,2026-06-03T14:36:00
20260603-00-00101,books,transfer,IT,0.0,2026-06-03T03:32:00
20260603-00-00102,books,card,IT,0.0,2026-06-03T13:43:00
20260603-00-00103,fashion,wallet,NL,0.0,2026-06-03T23:08:00
20260603-00-00104,books,wallet,NL,0.0,2026-06-03T18:19:00
20260603-00-00105,home,wallet,FR,0.0,2026-06-03T07:58:00
20260603-00-00106,fashion,cash,NL,0.0,2026-06-03T18:17:00
20260603-00-00107,electronics,cash,DE,0.0,2026-06-03T03:31:00
20260603-00-00108,sports,card,NL,0.0,2026-06-03T09:41:00
20260603-00-00109,toys,transfer,DE,0.0,2026-06-03T06:27:00
20260603-00-00110,books,wallet,BE,0.0,2026-06-03T16:23:00
20260603-00-00111,groceries,transfer,NL,0.0,2026-06-03T22:40:00
20260603-00-00112,sports,transfer,IT,0.0,2026-06-03T09:27:00
20260603-00-00113,groceries,cash,IT,0.0,2026-06-03T09:19:00
20260603-00-00114,home,transfer,BE,0.0,2026-06-03T13:20:00
20260603-00-00115,fashion,transfer,ES,0.0,2026-06-03T21:57:00
20260603-00-00116,fashion,wallet,DE,0.0,2026-06-03T19:13:00
20260603-00-00117,groceries,card,NL,0.0,2026-06-03T18:05:00
20260603-00-00118,electronics,wallet,NL,0.0,2026-06-03T01:20:00
20260603-00-00119,toys,cash,BE,0.0,2026-06-03T04:57:00
20260603-00-00120,home,transfer,BE,0.0,2026-06-03T00:45:00
20260603-00-00121,toys,transfer,FR,0.0,2026-06-03T00:12:00
20260603-00-00122,electronics,card,IT,0.0,2026-06-03T12:50:00
20260603-00-00123,home,cash,ES,0.0,2026-06-03T17:23:00
20260603-00-00124,toys,wallet,NL,0.0,2026-06-03T15:20:00
20260603-00-00125,sports,transfer,FR,0.0,2026-06-03T16:21:00
20260603-00-00126,books,transfer,FR,0.0,2026-06-03T09:33:00
20260603-00-00127,groceries,wallet,ES,0.0,2026-06-03T14:56:00
20260603-00-00128,electronics,transfer,ES,0.0,2026-06-03T12:36:00
20260603-00-00129,home,transfer,ES,0.0,2026-06-03T19:33:00
20260603-00-00130,sports,cash,DE,0.0,2026-06-03T12:44:00
20260603-00-00131,toys,transfer,IT,0.0,2026-06-03T04:37:00
20260603-00-00132,books,wallet,NL,0.0,2026-06-03T12:51:00
20260603-00-00133,sports,card,IT,0.0,2026-06-03T10:34:00
20260603-00-00134,groceries,card,IT,0.0,2026-06-03T20:14:00
20260603-00-00135,groceries,wallet,NL,0.0,2026-06-03T00:13:00
20260603-00-00136,groceries,wallet,NL,0.0,2026-06-03T09:03:00
20260603-00-00137,sports,card,NL,0.0,2026-06-03T18:46:00
20260603-00-00138,books,cash,FR,0.0,2026-06-03T21:02:00
20260603-00-00139,sports,transfer,NL,0.0,2026-06-03T15:45:00
20260603-00-00140,sports,card,IT,0.0,2026-06-03T07:13:00
20260603-00-00141,books,transfer,NL,0.0,2026-06-03T06:35:00
20260603-00-00142,electronics,card,DE,0.0,2026-06-03T15:02:00
20260603-00-00143,fashion,cash,DE,0.0,2026-06-03T13:40:00
20260603-00-00144,electronics,transfer,ES,0.0,2026-06-03T07:36:00
20260603-00-00145,sports,wallet,BE,0.0,2026-06-03T13:18:00
20260603-00-00146,toys,cash,ES,0.0,2026-06-03T22:45:00
20260603-00-00147,toys,card,FR,0.0,2026-06-03T19:28:00
20260603-00-00148,fashion,cash,BE,0.0,2026-06-03T17:38:00
20260603-00-00149,groceries,transfer,FR,0.0,2026-06-03T06:42:00
20260603-00-00150,fashion,wallet,IT,0.0,2026-06-03T19:35:00
20260603-00-00151,toys,transfer,FR,0.0,2026-06-03T03:39:00
20260603-00-00152,electronics,transfer,BE,0.0,2026-06-03T17:48:00
20260603-00-00153,electronics,wallet,FR,0.0,2026-06-03T10:11:00
20260603-00-00154,fashion,cash,IT,0.0,2026-06-03T14:11:00
20260603-00-00155,groceries,card,FR,0.0,2026-06-03T08:47:00
20260603-00-00156,toys,cash,BE,0.0,2026-06-03T01:00:00
20260603-00-00157,electronics,wallet,IT,0.0,2026-06-03T10:17:00
20260603-00-00158,home,cash,ES,0.0,2026-06-03T04:09:00
20260603-00-00159,toys,cash,DE,0.0,2026-06-03T05:55:00
20260603-00-00160,groceries,card,BE,0.0,2026-06-03T02:55:00
20260603-00-00161,home,wallet,FR,0.0,2026-06-03T16:28:00
20260603-00-00162,electronics,card,IT,0.0,2026-06-03T19:18:00
20260603-00-00163,electronics,transfer,BE,0.0,2026-06-03T04:59:00
20260603-00-00164,groceries,cash,NL,0.0,2026-06-03T05:51:00
